Continuous_Feature_1,Continuous_Feature_2,ClusterTruth
0.3773842231709143,0.18358841278760626,0
0.46073463899115363,0.2515535499201712,0
0.27402564445715716,0.34439582519289447,0
0.41104040098685757,0.2264922020346734,0
0.3378678058565765,0.10220662152018467,0
0.4362246454718365,0.35250399276265554,0
0.4191680821836674,0.11934099661701969,0
0.30753945714553277,0.27591063095632246,0
0.37166304581772147,0.2981167905721481,0
0.4510624142955242,0.1560463813838945,0
0.3189356427825819,0.2249874731802124,0
0.35327807061456784,0.3185720920149424,0
0.45080171329288665,0.23943163194842088,0
0.39508306432234985,0.13514423048987342,0
0.32062973434979275,0.3576902789853401,0
0.30201067634877665,0.3018578061225856,0
0.4273407417030498,0.35668193891997824,0
0.41139840971422825,0.26629920338624274,0
0.3473204678068981,0.25076868648221706,0
0.4094871312490923,0.46076043762425767,0
0.3431139476494953,0.2319148399400831,0
0.3396406096569569,0.1151839008520547,0
0.3579924819877072,0.20632426778768292,0
0.3246455254204498,0.2771619376539399,0
0.4020075945257686,0.29240430185828226,0
0.4094293905067464,0.16386920015896075,0
0.21494382686581529,0.2679376097812682,0
0.2889695285710798,0.26455598056394064,0
0.3672033617496438,0.2729986950811193,0
0.3855611051807581,0.39535056624644715,0
0.2520322468956042,0.27030338887438055,0
0.36321030823767725,0.2596129717157923,0
0.426146086127379,0.08999840176913532,0
0.5125773481529108,0.1873293272055774,0
0.354878883442408,0.33027834705482956,0
0.2684029049649802,0.3115011256039083,0
0.39756935540978217,0.31625602059232183,0
0.256192694876216,0.4311146078485196,0
0.35618637404090336,0.1865533694346227,0
0.39130477363677824,0.27880422239422853,0
0.3767735493429712,0.0,0
0.4510578554533906,0.28755733969986774,0
0.3507729036810951,0.24246569003238844,0
0.40304417300257617,0.351960303388207,0
0.3599905617434123,0.38345930233126846,0
0.3434298028074974,0.24479725048716322,0
0.2473834390155735,0.23050092166532837,0
0.4073124144110897,0.26940560676111136,0
0.30661266069917276,0.3166259131231459,0
0.24381640612612807,0.23613707777273907,0
0.36175677104720677,0.31958537309262786,0
0.3801724726369776,0.2978230343588855,0
0.3784986828272507,0.381253595782593,0
0.26877834644677095,0.23953126850514597,0
0.442687776720153,0.17661390839729674,0
0.4124179464403146,0.14337069896056198,0
0.2974216409566698,0.33371738279193286,0
0.31882408872873014,0.2616498858848491,0
0.39552544397985034,0.13503034466695954,0
0.3405883071990281,0.3062999542660283,0
0.31496563180878584,0.22794825984504888,0
0.27729496483560745,0.30950454359364443,0
0.18884115042712094,0.3062122349396928,0
0.29494534214570367,0.25260867974561885,0
0.3966914374574604,0.3282594161790664,0
0.35727833320388225,0.2874487034392336,0
0.407271948154747,0.4222693599489188,0
0.39196838114434657,0.20130443613901738,0
0.15569658575635417,0.4251101761706916,0
0.18603733635745426,0.3694068104634277,0
0.4056512094041943,0.24635676140461893,0
0.39742489895759253,0.20994648880192346,0
0.43854641459504995,0.23517331958936327,0
0.3972814403790551,0.3519036785658063,0
0.32595191217677244,0.4588110767716197,0
0.37952659567114366,0.33738762211941253,0
